City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
53,oktyabrskiy,RU,2022-06-02 21:59:31,54.4815,53.471,60.35,78,99,2.62,overcast clouds,0.0,0
54,bure,ET,2022-06-02 21:59:31,10.7,37.0667,61.45,72,83,4.79,broken clouds,0.0,0
55,bambous virieux,MU,2022-06-02 21:59:32,-20.3428,57.7575,75.45,69,40,8.05,scattered clouds,0.0,0
56,dingle,PH,2022-06-02 21:59:32,10.9995,122.6711,76.98,87,31,1.54,scattered clouds,0.0,0
57,mar del plata,AR,2022-06-02 21:55:14,-38.0023,-57.5575,45.95,66,0,2.3,clear sky,0.0,0
58,cape town,ZA,2022-06-02 21:55:02,-33.9258,18.4232,61.38,73,0,6.91,clear sky,0.0,0
59,ulverstone,AU,2022-06-02 21:59:33,-41.15,146.1667,51.3,82,100,11.65,moderate rain,0.0,0
60,mocuba,MZ,2022-06-02 21:59:33,-16.8392,36.9856,63.03,94,72,4.23,broken clouds,0.0,0
61,kapaa,US,2022-06-02 21:55:30,22.0752,-159.319,82.47,71,57,4.0,broken clouds,0.0,0
62,ahipara,NZ,2022-06-02 21:59:34,-35.1667,173.1667,59.29,70,45,18.39,scattered clouds,0.0,0
63,mataura,NZ,2022-06-02 21:59:34,-46.1927,168.8643,47.48,91,100,5.53,overcast clouds,0.0,0
64,nizhniy chir,RU,2022-06-02 21:59:34,48.3597,43.0865,65.68,54,9,8.79,clear sky,0.0,0
65,busselton,AU,2022-06-02 21:59:35,-33.65,115.3333,56.84,69,100,5.55,overcast clouds,0.0,0
66,yinchuan,CN,2022-06-02 21:59:35,38.4681,106.2731,76.26,33,99,5.28,overcast clouds,0.0,0
67,coihaique,CL,2022-06-02 21:59:35,-45.5752,-72.0662,32.61,90,100,3.76,overcast clouds,0.0,0
68,havoysund,NO,2022-06-02 21:59:36,70.9963,24.6622,48.43,67,45,9.89,scattered clouds,0.0,0
69,breznice,CZ,2022-06-02 21:59:36,49.5576,13.9506,59.07,81,66,4.41,broken clouds,0.0,0
70,xichang,CN,2022-06-02 21:59:36,27.8964,102.2634,67.15,97,100,1.39,overcast clouds,0.0,0
71,albury,AU,2022-06-02 21:59:37,-36.0833,146.9167,42.15,100,100,1.01,overcast clouds,0.0,0
72,bengkulu,ID,2022-06-02 21:59:37,-3.8004,102.2655,73.85,90,33,4.34,scattered clouds,0.0,0
73,arraial do cabo,BR,2022-06-02 21:59:37,-22.9661,-42.0278,73.36,88,75,13.8,broken clouds,0.0,0
74,lebu,CL,2022-06-02 21:59:38,-37.6167,-73.65,51.44,74,100,15.05,light rain,0.0,0
75,labuan,MY,2022-06-02 21:59:38,5.2767,115.2417,77.36,94,40,5.99,scattered clouds,0.0,0
76,saint-augustin,CA,2022-06-02 21:59:39,51.226,-58.6502,45.45,76,100,23.62,overcast clouds,0.0,0
77,vostok,RU,2022-06-02 21:59:39,46.4856,135.8833,46.71,88,100,1.1,overcast clouds,0.0,0
78,bredasdorp,ZA,2022-06-02 21:59:39,-34.5322,20.0403,50.11,86,4,4.05,clear sky,0.0,0
79,udgir,IN,2022-06-02 21:59:40,18.3833,77.1167,82.26,49,50,18.68,scattered clouds,0.0,0
80,atuona,PF,2022-06-02 21:59:40,-9.8,-139.0333,78.19,73,5,18.61,clear sky,0.0,0
81,bud,US,2022-06-02 21:59:40,39.447,-86.1758,77.02,55,100,10.85,overcast clouds,0.0,0
82,golden,US,2022-06-02 21:59:41,39.7555,-105.2211,73.29,50,39,5.99,scattered clouds,0.0,0
83,vardo,NO,2022-06-02 21:57:32,70.3705,31.1107,42.78,87,96,9.22,overcast clouds,0.0,0
84,juneau,US,2022-06-02 21:59:41,58.3019,-134.4197,78.84,27,1,4.38,clear sky,0.0,0
85,pevek,RU,2022-06-02 21:59:41,69.7008,170.3133,33.35,88,100,5.06,overcast clouds,0.0,0
86,roma,US,2022-06-02 21:59:42,43.2128,-75.4557,72.57,65,100,5.01,overcast clouds,0.0,0
87,fortuna,US,2022-06-02 21:59:42,40.5982,-124.1573,67.91,61,20,12.66,few clouds,0.0,0
88,acarau,BR,2022-06-02 21:59:42,-2.8856,-40.12,77.54,87,98,8.79,overcast clouds,0.0,0
89,mezen,RU,2022-06-02 21:59:43,65.8522,44.24,55.94,57,73,10.76,broken clouds,0.0,0
90,port alfred,ZA,2022-06-02 21:59:43,-33.5906,26.891,55.78,85,1,4.99,clear sky,0.0,0
91,douglas,US,2022-06-02 21:59:43,41.3,-96.167,81.95,27,0,11.5,clear sky,0.0,0
92,saint-philippe,RE,2022-06-02 21:59:44,-21.3585,55.7679,69.39,79,25,7.43,scattered clouds,0.0,0
93,pisco,PE,2022-06-02 21:59:44,-13.7,-76.2167,66.02,82,26,8.05,mist,0.0,0
94,morehead,US,2022-06-02 21:59:45,37.2711,-87.1764,79.86,62,75,4.61,broken clouds,0.0,0
95,ponta do sol,PT,2022-06-02 21:59:45,32.6667,-17.1,68.72,76,55,9.84,broken clouds,0.0,0
96,stephenville,US,2022-06-02 21:59:45,32.2207,-98.2023,83.77,55,40,6.91,scattered clouds,0.0,0
97,sao joao da barra,BR,2022-06-02 21:59:46,-21.6403,-41.0511,75.29,86,48,16.17,scattered clouds,0.0,0
98,kindersley,CA,2022-06-02 21:57:09,51.4668,-109.1682,68.02,18,20,13.8,few clouds,0.0,0
99,talnakh,RU,2022-06-02 21:59:46,69.4865,88.3972,34.21,88,75,5.73,broken clouds,0.0,0
100,north bend,US,2022-06-02 21:59:46,43.4065,-124.2243,74.25,84,58,1.01,broken clouds,0.0,0
101,susanville,US,2022-06-02 21:55:22,40.4163,-120.653,78.64,23,0,18.41,clear sky,0.0,0
102,tadine,NC,2022-06-02 21:59:47,-21.55,167.8833,74.3,67,100,9.24,overcast clouds,0.0,0
103,barrow,US,2022-06-02 21:59:47,71.2906,-156.7887,26.62,86,100,5.75,mist,0.0,0
104,hambantota,LK,2022-06-02 21:59:48,6.1241,81.1185,79.14,100,40,6.91,scattered clouds,0.0,0
105,carnarvon,AU,2022-06-02 21:59:48,-24.8667,113.6333,61.16,51,1,15.52,clear sky,0.0,0
106,walvis bay,NA,2022-06-02 21:59:48,-22.9575,14.5053,67.08,20,0,3.44,clear sky,0.0,0
107,yumen,CN,2022-06-02 21:59:49,40.2833,97.2,61.84,34,100,8.37,overcast clouds,0.0,0
108,soyo,AO,2022-06-02 21:59:49,-6.1349,12.3689,73.87,89,11,5.59,few clouds,0.0,0
109,altay,CN,2022-06-02 21:59:49,47.8667,88.1167,43.7,75,9,2.59,clear sky,0.0,0
110,maeriste,RO,2022-06-02 21:59:50,47.3167,22.8,60.42,88,33,2.21,scattered clouds,0.0,0
111,robertsport,LR,2022-06-02 21:59:50,6.7533,-11.3686,80.98,81,80,12.55,broken clouds,0.0,0
112,port keats,AU,2022-06-02 21:59:50,-14.25,129.55,76.06,85,59,3.78,broken clouds,0.0,0
113,motril,ES,2022-06-02 21:59:51,36.7507,-3.5179,74.26,58,51,6.64,broken clouds,0.0,0
114,san andres,CO,2022-06-02 21:59:13,12.5847,-81.7006,80.62,89,40,2.3,scattered clouds,0.0,0
115,roald,NO,2022-06-02 21:59:51,62.5833,6.1333,53.76,93,75,5.75,broken clouds,0.0,0
116,christchurch,NZ,2022-06-02 21:55:05,-43.5333,172.6333,51.91,76,75,10.36,broken clouds,0.0,0
117,san patricio,US,2022-06-02 21:59:51,28.017,-97.5169,93.29,42,28,18.3,scattered clouds,0.0,0
118,pacific grove,US,2022-06-02 21:59:52,36.6177,-121.9166,80.38,68,100,8.01,overcast clouds,0.0,0
119,karimganj,IN,2022-06-02 21:59:52,24.8667,92.35,76.42,94,96,2.08,light rain,0.0,0
120,coahuayana,MX,2022-06-02 21:59:52,18.7333,-103.6833,84.81,56,46,8.03,scattered clouds,0.0,0
121,otane,NZ,2022-06-02 21:59:53,-39.8833,176.6333,55.0,85,69,1.07,broken clouds,0.0,0
122,constitucion,CL,2022-06-02 21:54:59,-35.3333,-72.4167,52.09,80,100,9.26,overcast clouds,0.0,0
