City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Eirunepe,-6.6603,-69.8736,86.81,55,82,4.52,BR,2022-05-07 18:00:16
59,San Carlos De Bariloche,-41.1456,-71.3082,62.35,48,40,21.85,AR,2022-05-07 17:57:01
60,Marsh Harbour,26.5412,-77.0636,81.21,68,8,18.05,BS,2022-05-07 18:00:17
61,Caranavi,-15.8167,-67.55,74.62,54,81,3.42,BO,2022-05-07 18:00:17
62,Lodwar,3.1191,35.5973,91.96,34,64,11.43,KE,2022-05-07 18:00:18
63,Hasaki,35.7333,140.8333,61.2,90,100,7.14,JP,2022-05-07 18:00:18
64,Qaanaaq,77.484,-69.3632,19.58,73,99,1.83,GL,2022-05-07 18:00:19
65,Xuddur,4.1213,43.8894,80.8,62,97,15.03,SO,2022-05-07 18:00:20
66,Dzialdowo,53.2396,20.17,55.31,86,74,12.33,PL,2022-05-07 18:00:20
67,Lorengau,-2.0226,147.2712,82.49,80,83,13.85,PG,2022-05-07 18:00:20
68,Bluff,-46.6,168.3333,57.79,81,89,7.18,NZ,2022-05-07 18:00:21
69,Puerto Ayora,-0.7393,-90.3518,78.76,81,41,9.4,EC,2022-05-07 17:55:31
70,Yellowknife,62.456,-114.3525,37.92,100,100,26.46,CA,2022-05-07 17:56:59
71,Narsaq,60.9167,-46.05,53.82,74,100,2.62,GL,2022-05-07 18:00:22
72,Cidreira,-30.1811,-50.2056,67.3,62,24,6.35,BR,2022-05-07 18:00:22
73,Bethel,41.3712,-73.414,54.52,58,100,5.01,US,2022-05-07 18:00:23
74,Hithadhoo,-0.6,73.0833,84.2,76,65,15.57,MV,2022-05-07 18:00:23
75,Moron,-34.6534,-58.6198,73.94,60,22,6.17,AR,2022-05-07 18:00:27
76,Labuan,5.2767,115.2417,81.9,80,100,3.69,MY,2022-05-07 18:00:28
77,Padang,-0.9492,100.3543,75.25,86,100,4.41,ID,2022-05-07 18:00:28
78,Batagay,67.6333,134.6333,7.93,94,50,1.43,RU,2022-05-07 18:00:28
79,Svetlogorsk,52.6333,29.7333,51.67,87,92,7.78,BY,2022-05-07 18:00:29
80,Thompson,55.7435,-97.8558,60.96,63,20,10.36,CA,2022-05-07 17:56:48
81,Luderitz,-26.6481,15.1594,59.43,64,0,24.67,NA,2022-05-07 18:00:29
82,Severo-Kurilsk,50.6789,156.125,38.39,90,67,1.21,RU,2022-05-07 18:00:30
83,Puerto Leguizamo,-0.1934,-74.7819,75.52,83,98,3.83,CO,2022-05-07 18:00:30
84,Port Moresby,-9.4431,147.1797,76.5,89,80,3.62,PG,2022-05-07 18:00:30
85,Satipo,-11.2522,-74.6386,78.33,72,92,0.94,PE,2022-05-07 18:00:31
86,Iqaluit,63.7506,-68.5145,27.7,42,92,11.99,CA,2022-05-07 18:00:15
87,Churapcha,62.0025,132.4325,30.2,96,99,4.36,RU,2022-05-07 18:00:31
88,Pangnirtung,66.1451,-65.7125,15.8,86,75,8.05,CA,2022-05-07 18:00:32
89,Perth,-31.9333,115.8333,56.66,65,0,5.75,AU,2022-05-07 17:57:54
90,Kutum,14.2,24.6667,84.42,8,74,10.22,SD,2022-05-07 17:58:16
91,Tiksi,71.6872,128.8694,7.88,94,15,7.72,RU,2022-05-07 18:00:32
92,Georgetown,5.4112,100.3354,84.13,84,20,0.0,MY,2022-05-07 18:00:33
93,Najran,17.4924,44.1277,84.76,29,49,4.59,SA,2022-05-07 18:01:33
94,Norman Wells,65.282,-126.8329,40.91,71,100,0.94,CA,2022-05-07 18:01:33
95,Bilibino,68.0546,166.4372,24.66,94,95,3.0,RU,2022-05-07 18:01:34
96,Kamen-Na-Obi,53.7884,81.3423,38.25,37,55,6.4,RU,2022-05-07 18:01:34
97,Ganta,7.3022,-8.5308,72.21,92,59,5.3,LR,2022-05-07 18:01:34
98,Beringovskiy,63.05,179.3167,27.43,92,100,6.24,RU,2022-05-07 18:01:35
99,Saint-Philippe,-21.3585,55.7679,72.99,83,40,12.68,RE,2022-05-07 18:01:35
100,Phangnga,8.4509,98.5298,82.44,93,96,2.64,TH,2022-05-07 18:01:36
101,Tasiilaq,65.6145,-37.6368,32.16,62,69,5.46,GL,2022-05-07 18:01:36
102,Trincomalee,8.5711,81.2335,80.82,81,100,8.61,LK,2022-05-07 18:01:37
103,Constitucion,-35.3333,-72.4167,64.65,53,0,5.95,CL,2022-05-07 18:01:37
104,Bathsheba,13.2167,-59.5167,82.44,72,75,13.35,BB,2022-05-07 18:01:37
105,Kalinovskaya,43.5758,45.5192,49.28,92,100,7.67,RU,2022-05-07 18:01:38
106,Dikson,73.5069,80.5464,7.34,100,65,6.33,RU,2022-05-07 17:59:36
107,Ruteng,-8.6136,120.4721,63.59,94,43,2.08,ID,2022-05-07 18:01:39
108,Kahului,20.8947,-156.47,73.85,90,100,8.99,US,2022-05-07 17:56:57
109,Lebu,-37.6167,-73.65,58.71,70,18,9.44,CL,2022-05-07 18:01:39
110,Kirakira,-10.4544,161.9205,80.69,84,59,9.78,SB,2022-05-07 18:01:39
111,Igarka,67.4667,86.5833,11.26,82,100,23.85,RU,2022-05-07 18:01:40
112,Faya,18.3851,42.4509,68.49,53,16,5.19,SA,2022-05-07 18:01:40
113,Arraial Do Cabo,-22.9661,-42.0278,78.66,65,40,14.97,BR,2022-05-07 17:58:05
114,Bogorodskoye,56.55,37.8833,50.63,68,72,9.6,RU,2022-05-07 18:01:41
115,Negombo,7.2083,79.8358,86.05,79,40,5.75,LK,2022-05-07 17:57:36
116,Fougamou,-1.2154,10.5838,75.9,95,96,1.83,GA,2022-05-07 18:01:41
117,Riverton,40.5219,-111.9391,62.58,44,0,18.99,US,2022-05-07 18:00:07
118,Saldanha,-33.0117,17.9442,59.09,67,1,21.05,ZA,2022-05-07 18:01:42
119,Port Hardy,50.6996,-127.4199,47.61,65,100,8.55,CA,2022-05-07 18:01:42
120,Bloemhof,-27.6469,25.607,64.44,32,67,7.76,ZA,2022-05-07 18:01:43
121,Cap Malheureux,-19.9842,57.6142,78.48,73,5,7.0,MU,2022-05-07 18:01:34
122,Hami,42.8,93.45,73.08,28,2,2.8,CN,2022-05-07 18:01:43
123,Tirunelveli,8.7333,77.7,86.74,65,61,10.65,IN,2022-05-07 18:01:44
124,Sao Joao Da Barra,-21.6403,-41.0511,78.89,62,1,16.55,BR,2022-05-07 18:01:44
125,Broken Hill,-31.95,141.4333,49.86,61,0,7.45,AU,2022-05-07 18:01:44
126,Bentiu,9.2333,29.8333,81.82,62,100,8.05,SS,2022-05-07 18:01:45
127,Kindu,-2.95,25.95,75.96,82,100,0.92,CD,2022-05-07 18:01:45
128,Farafangana,-22.8167,47.8333,73.63,91,12,9.17,MG,2022-05-07 18:01:46
129,Mahendranagar,28.9167,80.3333,81.99,27,16,5.37,NP,2022-05-07 18:01:46
