City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,itarema,BR,76.48,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
531,laje,BR,76.23,broken clouds,-10.1833,-40.9667,NN Pousada
532,kulhudhuffushi,MV,82.2,overcast clouds,6.6221,73.07,Haajy Guest House 1
536,padang,ID,76.75,overcast clouds,-0.9492,100.3543,Mercure Padang
537,devarkonda,IN,85.69,overcast clouds,16.7,78.9333,సంతోష్ టిఫిన్ సెంటర్
551,anse-bertrand,GP,82.22,clear sky,16.4721,-61.5078,Le Domharry
562,balabac,PH,81.28,broken clouds,7.9868,117.0645,Batalla’s Lodging House
563,gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
566,jharsuguda,IN,80.04,overcast clouds,21.85,84.0333,Hotel Meghdoot - Best Hotel In Jharsuguda
570,portales,US,78.33,overcast clouds,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
581,bajos de haina,DO,84.33,scattered clouds,18.4154,-70.0332,Familia García Santana
583,oistins,BB,79.14,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
584,maragogi,BR,76.42,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
586,lixourion,GR,75.51,clear sky,38.2019,20.4314,Hotel Summery
588,saint anthony,US,75.78,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
589,haysville,US,78.48,clear sky,37.5645,-97.3523,HAYSVILLE EXPRESS INN
592,vila velha,BR,77.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
593,turayf,SA,80.51,clear sky,31.6725,38.6637,Turaif
595,sur,OM,82.9,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
596,fairbanks,US,76.01,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
597,pundaguitan,PH,81.75,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
598,college,US,75.58,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
600,awjilah,LY,81.07,clear sky,29.1081,21.2869,المنزل
603,wewak,PG,78.84,few clouds,-3.5534,143.6268,In Wewak Boutique Hotel
604,alta floresta,BR,77.09,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
611,mabaruma,GY,75.45,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
612,mapiripan,CO,79.3,light rain,2.8892,-72.1256,Monserrate
613,dawlatabad,AF,78.22,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
615,la asuncion,VE,76.23,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
616,colinas,BR,75.52,overcast clouds,-6.0258,-44.2492,Pousada do Nonatinho
621,amahai,ID,78.12,broken clouds,-3.3333,128.9167,HOTEL ISABELA
622,koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
628,arawa,PG,79.83,scattered clouds,-6.2132,155.5367,Coastline Guest House
629,murgab,TM,79.59,clear sky,37.4966,61.9714,Wepa Nurlyýew
637,soldotna,US,75.22,clear sky,60.4878,-151.0583,Aspen Hotel Soldotna
638,davila,PH,81.9,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
642,tonantins,BR,79.27,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
643,keratea,GR,80.31,clear sky,37.8073,23.9769,Keratea Luxury Villa -Athens Airport
645,acapulco,MX,83.66,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
646,chiman,PK,86.76,clear sky,32.5463,73.8138,Master Muhammad zafar iqbal
648,phan thiet,VN,76.42,overcast clouds,10.9333,108.1,Hotel Saigon-PT
650,taitung,TW,80.92,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
656,cam ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
657,santa rosa,PH,82.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
659,roxana,CR,82.04,overcast clouds,10.2753,-83.7513,3BYES1
663,sabang,ID,80.06,overcast clouds,5.8933,95.3214,Hotel Citra
666,puerto madero,MX,84.4,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
669,tiarei,PF,80.01,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
672,yenagoa,NG,75.99,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
674,piacabucu,BR,76.51,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
678,mumford,GH,80.22,broken clouds,5.2618,-0.759,Spanish Villa
682,jaisalmer,IN,85.3,clear sky,26.9147,70.9181,Hotel Fifu
684,ishigaki,JP,81.86,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
685,buala,SB,82.15,light rain,-8.145,159.5921,Maringe Lagoon Lodge
688,pierre,US,78.06,few clouds,44.3683,-100.351,Ramkota Hotel
699,salinopolis,BR,79.39,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
